InvoiceDate,DailyOrderCount,DailySalesAmount,DailyTotalQuantity
2011-06-03,44,16753.6,7643
2011-06-05,67,25346.100000000002,13345
2011-06-06,57,17738.420000000002,9451
2011-06-07,78,37819.39,18685
2011-06-08,99,43107.80000000001,21220
2011-06-09,85,46204.66999999999,28211
2011-06-10,50,62204.000000000015,10657
2011-06-12,39,12376.289999999997,9412
2011-06-13,59,22424.859999999997,11285
2011-06-14,57,40025.94000000002,14411
2011-06-15,59,48933.41000000001,30349
2011-06-16,83,34410.42,20205
2011-06-17,52,21066.569999999996,11751
2011-06-19,60,22064.280000000002,14989
2011-06-20,74,36244.170000000006,16563
2011-06-21,55,24683.720000000005,14160
2011-06-22,60,21771.76,15796
2011-06-23,72,25107.57,14638
2011-06-24,51,19450.63,9947
2011-06-26,26,6950.08,3708
2011-06-27,45,16921.01,9844
2011-06-28,55,35503.06,21729
2011-06-29,42,22079.169999999995,12062
2011-06-30,70,43607.210000000014,21165
2011-07-01,49,13577.159999999998,7577
2011-07-03,25,5846.35,3028
2011-07-04,52,44494.98,15669
2011-07-05,73,40708.340000000004,22079
2011-07-06,70,26257.650000000012,19120
2011-07-07,76,32390.679999999997,19118
2011-07-08,65,27034.39,12685
2011-07-10,24,5886.939999999998,4163
2011-07-11,52,22515.16,15092
2011-07-12,53,26227.470000000005,13939
2011-07-13,59,22543.059999999994,16217
2011-07-14,71,33494.0,17467
2011-07-15,42,14786.629999999997,7286
2011-07-17,51,17059.159999999996,10957
2011-07-18,65,38755.46000000001,15062
2011-07-19,67,50160.19000000001,29151
2011-07-20,58,33132.09,17606
2011-07-21,76,32662.710000000003,19889
2011-07-22,43,20090.71,10257
2011-07-24,58,27015.64,17615
2011-07-25,59,26759.64,15992
2011-07-26,53,21633.171000000002,13707
2011-07-27,48,25589.160000000007,13959
2011-07-28,80,56226.869999999995,30243
2011-07-29,64,18716.540000000005,11559
2011-07-31,42,33187.090000000004,19358
2011-08-01,39,20924.74,11591
2011-08-02,44,26563.470000000005,15714
2011-08-03,64,28043.68999999999,16478
2011-08-04,82,65480.10999999997,41115
2011-08-05,55,21221.39,12632
2011-08-07,30,7533.61,5168
2011-08-08,40,23340.050000000003,13310
2011-08-09,42,27664.59,16249
2011-08-10,49,28761.239999999998,14409
2011-08-11,69,72323.45,39193
2011-08-12,51,32226.46,11975
2011-08-14,25,5618.119999999999,3139
2011-08-15,48,17195.510000000002,10143
2011-08-16,53,19191.379999999994,11166
2011-08-17,54,53083.84,25467
2011-08-18,69,54041.78999999999,33979
2011-08-19,56,17326.170000000002,10662
2011-08-21,39,14174.509999999997,7982
2011-08-22,65,29619.069999999996,15529
2011-08-23,64,25963.950000000004,15161
2011-08-24,76,48565.07000000001,29221
2011-08-25,74,23762.19999999999,13309
2011-08-26,47,25564.489999999998,17117
2011-08-28,37,10477.119999999999,6577
2011-08-30,41,31807.570000000007,10228
2011-08-31,47,25311.110000000004,12428
2011-09-01,76,37322.219999999994,27832
2011-09-02,74,42136.81,18393
2011-09-04,50,16933.0,10789
2011-09-05,68,36788.41999999999,22658
2011-09-06,64,28227.450000000004,15019
2011-09-07,52,34388.990000000005,16367
2011-09-08,76,26959.460000000017,17347
2011-09-09,62,29963.510000000006,17330
2011-09-11,75,34987.87000000001,20748
2011-09-12,68,29327.550000000003,16684
2011-09-13,67,54874.66,36442
2011-09-14,68,23572.480000000003,14183
2011-09-15,83,78095.95000000001,29250
2011-09-16,50,27499.38,14600
2011-09-18,27,15375.950000000003,8783
2011-09-19,71,49225.020000000004,29239
2011-09-20,70,109378.68000000001,43548
2011-09-21,75,48495.94000000001,22294
2011-09-22,112,59184.21,33125
2011-09-23,64,40462.66,21830
2011-09-25,75,30787.501,19133
2011-09-26,66,29171.160000000003,15120
2011-09-27,80,36214.79999999999,21216
2011-09-28,85,43513.66000000002,25462
2011-09-29,105,46100.88000000002,27319
2011-09-30,74,44290.710000000014,22512
2011-10-02,35,11391.900000000001,8233
2011-10-03,68,65927.37,25759
2011-10-04,81,48374.899999999994,25173
2011-10-05,96,75276.17000000001,46139
2011-10-06,122,62544.49,35165
2011-10-07,88,53614.81000000002,30868
2011-10-09,39,11967.760000000002,7009
2011-10-10,100,47951.69999999998,25909
2011-10-11,82,52361.13000000002,28405
2011-10-12,88,31996.970000000005,17553
2011-10-13,77,36949.880000000005,18535
2011-10-14,74,36178.899999999994,18062
2011-10-16,35,21513.71,8504
2011-10-17,89,51827.90000000001,31259
2011-10-18,84,45071.15,29154
2011-10-19,85,40105.95,18933
2011-10-20,89,60598.06999999999,40669
2011-10-21,64,62891.93,24723
2011-10-23,42,11799.149999999998,6691
2011-10-24,78,48155.590000000026,25828
2011-10-25,77,40942.91,26470
2011-10-26,95,37593.57000000001,20500
2011-10-27,106,56981.90000000001,32632
2011-10-28,78,40238.520000000004,23801
2011-10-30,96,33761.020000000004,19641
2011-10-31,72,57136.90999999999,21444
2011-11-01,77,28865.790000000005,16341
2011-11-02,85,45546.05000000002,28234
2011-11-03,103,63208.600000000006,34205
2011-11-04,94,62113.22,34760
2011-11-06,102,42104.039999999986,22834
2011-11-07,93,85545.43,31214
2011-11-08,108,57213.34,26235
2011-11-09,119,64851.08999999999,37525
2011-11-10,129,69722.84,37944
2011-11-11,105,54495.899999999994,28643
2011-11-13,87,33590.3,20267
2011-11-14,107,113977.67999999998,47045
2011-11-15,108,60382.340000000004,30218
2011-11-16,130,65235.13,32707
2011-11-17,137,60695.43,31372
2011-11-18,108,50872.30000000002,23778
2011-11-20,100,33914.49000000001,18690
2011-11-21,100,49391.320000000014,25558
2011-11-22,135,63301.110000000015,34993
2011-11-23,131,79660.60000000002,39174
2011-11-24,113,50450.979999999996,26260
2011-11-25,83,50361.39000000003,18730
2011-11-27,57,19843.49,10715
2011-11-28,115,56349.93000000001,28897
2011-11-29,135,72162.34,30710
2011-11-30,108,59854.93999999998,28231
2011-12-01,121,51662.69000000002,26774
2011-12-02,120,57202.66,28572
2011-12-04,66,24113.18,12050
2011-12-05,127,88342.59,44275
2011-12-06,115,56159.009999999995,30219
2011-12-07,106,75031.72,41621
2011-12-08,120,81986.70000000003,34831
2011-12-09,44,200834.53999999998,93907
